ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (mm)","Ширина (mm)","Высота (mm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2","Имя атрибута 3","Значение(-я) аттрибута(-ов) 3","Видимость атрибута 3","Глобальный атрибут 3","Имя атрибута 4","Значение(-я) аттрибута(-ов) 4","Видимость атрибута 4","Глобальный атрибут 4","Имя атрибута 5","Значение(-я) аттрибута(-ов) 5","Видимость атрибута 5","Глобальный атрибут 5","Мета: number-meters-packing","Мета: _number-meters-packing","Мета: price-packing","Мета: _price-packing"
168,simple,D3334,"Kronopol Vision Aurum D3334 Платан Импрессион (Impresion Chesnut)",1,0,visible,,"Kronopol Vision Aurum D3334 Платан Импрессион (Impresion Chesnut)",,,taxable,,1,,,0,0,15,1380,193,8,1,,,3005,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3334.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3334-2.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3334-3.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3334-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Vision Aurum",1,1,Толщина,8мм,1,1,"Страна производства:",Польша,1,0,"Количество в уп-ке, шт",8,1,0,2.131,field_60d08a32d849c,1410,field_60f553cc93d58
174,simple,D3343,"Kronopol Aurum Vision D3343 Дуб скальный (Mountain Oak)",1,0,visible,,"Kronopol Aurum Vision D3343 Дуб скальный (Mountain Oak)",,,taxable,,1,,,0,0,15,1380,193,8,1,,,3005,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3343.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3343-2.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3343-3.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3343-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Vision Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,2.131,field_60d08a32d849c,1410,field_60f553cc93d58
180,simple,D3347,"Kronopol Aurum Vision D3347 Дуб Леонардо (Leonardo Oak)",1,0,visible,,"Kronopol Aurum Vision D3347 Дуб Леонардо (Leonardo Oak)",,,taxable,,1,,,0,0,15,1380,193,8,1,,,3005,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3347.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3347-2.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3347-3.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3347-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Vision Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,2.131,field_60d08a32d849c,1410,field_60f553cc93d58
186,simple,D3879,"Kronopol Aurum Vision D3879 Дуб Лувр (Oak Louvre)",1,0,visible,,"Kronopol Aurum Vision D3879 Дуб Лувр (Oak Louvre)",,,taxable,,1,,,0,0,15,1380,193,8,1,,,3005,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3879.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3879-2.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3879-3.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3879-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Vision Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,2.131,field_60d08a32d849c,1410,field_60f553cc93d58
191,simple,D3941,"Kronopol Aurum Vision D3941 Вяз Версаль (Elm Versailles)",1,0,visible,,"Kronopol Aurum Vision D3941 Вяз Версаль (Elm Versailles)",,,taxable,,1,,,0,0,15,1380,193,8,1,,,3005,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3941.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3941-2.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3941-3.png, https://kronopol.pro/wp-content/uploads/2021/08/VISION-_AURUM_3941-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Vision Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,2.131,field_60d08a32d849c,1410,field_60f553cc93d58
197,simple,D3482,"Kronopol Aurum Gusto D3482 Платан Малибу (Malibu Platan)",1,0,visible,,"Kronopol Aurum Gusto D3482 Платан Малибу (Malibu Platan)",,,taxable,,1,,,0,0,15,1380,159,8,1,,,2194,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3482-1.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3482-2.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3482-3.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3482-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Gusto Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,1.755,field_60d08a32d849c,1250,field_60f553cc93d58
202,simple,D3484,"Kronopol Aurum Gusto D3484 Орех Кайен (Cayenne Walnut)",1,0,visible,,"Kronopol Aurum Gusto D3484 Орех Кайен (Cayenne Walnut)",,,taxable,,1,,,0,0,15,1380,159,8,1,,,2194,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3484-1.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3484-2.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3484-3.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3484-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Gusto Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,1.755,field_60d08a32d849c,1250,field_60f553cc93d58
207,simple,D3491,"Kronopol Aurum Gusto D3491 Дуб Цейлон (Ceylon Oak)",1,0,visible,,"Kronopol Aurum Gusto D3491 Дуб Цейлон (Ceylon Oak)",,,taxable,,1,,,0,0,15,1380,159,8,1,,,2194,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3491-1.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3491-2.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3491-3.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3491-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Gusto Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,1.755,field_60d08a32d849c,1250,field_60f553cc93d58
212,simple,D3493,"Kronopol Aurum Gusto D3493 Дуб Шафран (Safron Oak)",1,0,visible,,"Kronopol Aurum Gusto D3493 Дуб Шафран (Safron Oak)",,,taxable,,1,,,0,0,15,1380,159,8,1,,,2194,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3493-1.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3493-2.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3493-3.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D3493-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Gusto Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт",8,1,0,1.755,field_60d08a32d849c,1250,field_60f553cc93d58
218,simple,D4522,"Kronopol Aurum Gusto D4522 Oak Tamala",1,0,visible,,"Kronopol Aurum Gusto D4522 Oak Tamala",,,taxable,,1,,,0,0,15,1380,159,8,1,,,2194,Ламинат,,,"https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4522-1.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4522-2.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4522-3.png, https://kronopol.pro/wp-content/uploads/2021/08/GUSTO-_AURUM_D4522-4.png",,,,,,,,,0,Класс,33класс,1,1,Коллекция,"Gusto Aurum",1,1,Толщина,8мм,1,1,"Страна производства",Польша,1,0,"Количество в уп-ке, шт.",8,1,0,1.755,field_60d08a32d849c,1250,field_60f553cc93d58
